,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
25,"frozenset({'Total(%): (-0.095, 31.667]', 'Rural(%): (-0.094, 31.333]'})","frozenset({'Richest(%): (-0.095, 31.667]'})",0.56,0.56,0.56,1.0,1.7857142857142856,0.2464,inf
26,"frozenset({'Richest(%): (-0.095, 31.667]', 'Rural(%): (-0.094, 31.333]'})","frozenset({'Total(%): (-0.095, 31.667]'})",0.56,0.56,0.56,1.0,1.7857142857142856,0.2464,inf
27,"frozenset({'Total(%): (-0.095, 31.667]'})","frozenset({'Richest(%): (-0.095, 31.667]', 'Rural(%): (-0.094, 31.333]'})",0.56,0.56,0.56,1.0,1.7857142857142856,0.2464,inf
28,"frozenset({'Richest(%): (-0.095, 31.667]'})","frozenset({'Total(%): (-0.095, 31.667]', 'Rural(%): (-0.094, 31.333]'})",0.56,0.56,0.56,1.0,1.7857142857142856,0.2464,inf
29,"frozenset({'Rural(%): (-0.094, 31.333]'})","frozenset({'Total(%): (-0.095, 31.667]', 'Richest(%): (-0.095, 31.667]'})",0.62,0.56,0.56,0.903225806451613,1.6129032258064515,0.21280000000000004,4.54666666666667
30,"frozenset({'Poorest(%): (-0.086, 28.667]', 'Total(%): (-0.095, 31.667]', 'Richest(%): (-0.095, 31.667]'})","frozenset({'Rural(%): (-0.094, 31.333]'})",0.56,0.62,0.56,1.0,1.6129032258064517,0.21280000000000004,inf
31,"frozenset({'Poorest(%): (-0.086, 28.667]', 'Total(%): (-0.095, 31.667]', 'Rural(%): (-0.094, 31.333]'})","frozenset({'Richest(%): (-0.095, 31.667]'})",0.56,0.56,0.56,1.0,1.7857142857142856,0.2464,inf
32,"frozenset({'Poorest(%): (-0.086, 28.667]', 'Richest(%): (-0.095, 31.667]', 'Rural(%): (-0.094, 31.333]'})","frozenset({'Total(%): (-0.095, 31.667]'})",0.56,0.56,0.56,1.0,1.7857142857142856,0.2464,inf
33,"frozenset({'Total(%): (-0.095, 31.667]', 'Richest(%): (-0.095, 31.667]', 'Rural(%): (-0.094, 31.333]'})","frozenset({'Poorest(%): (-0.086, 28.667]'})",0.56,0.78,0.56,1.0,1.282051282051282,0.12319999999999998,inf
34,"frozenset({'Poorest(%): (-0.086, 28.667]', 'Total(%): (-0.095, 31.667]'})","frozenset({'Richest(%): (-0.095, 31.667]', 'Rural(%): (-0.094, 31.333]'})",0.56,0.56,0.56,1.0,1.7857142857142856,0.2464,inf
35,"frozenset({'Poorest(%): (-0.086, 28.667]', 'Richest(%): (-0.095, 31.667]'})","frozenset({'Total(%): (-0.095, 31.667]', 'Rural(%): (-0.094, 31.333]'})",0.56,0.56,0.56,1.0,1.7857142857142856,0.2464,inf
36,"frozenset({'Poorest(%): (-0.086, 28.667]', 'Rural(%): (-0.094, 31.333]'})","frozenset({'Total(%): (-0.095, 31.667]', 'Richest(%): (-0.095, 31.667]'})",0.62,0.56,0.56,0.903225806451613,1.6129032258064515,0.21280000000000004,4.54666666666667
37,"frozenset({'Total(%): (-0.095, 31.667]', 'Richest(%): (-0.095, 31.667]'})","frozenset({'Poorest(%): (-0.086, 28.667]', 'Rural(%): (-0.094, 31.333]'})",0.56,0.62,0.56,1.0,1.6129032258064517,0.21280000000000004,inf
38,"frozenset({'Total(%): (-0.095, 31.667]', 'Rural(%): (-0.094, 31.333]'})","frozenset({'Poorest(%): (-0.086, 28.667]', 'Richest(%): (-0.095, 31.667]'})",0.56,0.56,0.56,1.0,1.7857142857142856,0.2464,inf
39,"frozenset({'Richest(%): (-0.095, 31.667]', 'Rural(%): (-0.094, 31.333]'})","frozenset({'Poorest(%): (-0.086, 28.667]', 'Total(%): (-0.095, 31.667]'})",0.56,0.56,0.56,1.0,1.7857142857142856,0.2464,inf
40,"frozenset({'Total(%): (-0.095, 31.667]'})","frozenset({'Poorest(%): (-0.086, 28.667]', 'Richest(%): (-0.095, 31.667]', 'Rural(%): (-0.094, 31.333]'})",0.56,0.56,0.56,1.0,1.7857142857142856,0.2464,inf
41,"frozenset({'Richest(%): (-0.095, 31.667]'})","frozenset({'Poorest(%): (-0.086, 28.667]', 'Total(%): (-0.095, 31.667]', 'Rural(%): (-0.094, 31.333]'})",0.56,0.56,0.56,1.0,1.7857142857142856,0.2464,inf
42,"frozenset({'Rural(%): (-0.094, 31.333]'})","frozenset({'Poorest(%): (-0.086, 28.667]', 'Total(%): (-0.095, 31.667]', 'Richest(%): (-0.095, 31.667]'})",0.62,0.56,0.56,0.903225806451613,1.6129032258064515,0.21280000000000004,4.54666666666667
